CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Label
540fb56329c9a9dd807d39b984192ac46658508f33013aa8ab87015e294b7986c4e3045320b511e364d52000afb643a431599bb340753c505ace9df9efad5352,,2022-08-12 16:20:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HALSTED ST,41.9137731359,-87.648506953,POINT (-87.648506952981 41.91377313589),"{'Mode': 'rental', 'Type': 'classic_bike'}"
b18430ed542c663d2800c3df756cbb26d875c15f7b4d10ae732917849043848022d4092bb576704f549f747314ec5d1bca10332993e3db60afb8e7a55cf191f6,,2022-08-13 18:45:00,30,CLEAR,DAWN,OTHER OBJECT,OTHER,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,SUPERIOR ST,41.8958263727,-87.6258105835,POINT (-87.625810583484 41.895826372695),"{'Mode': 'rental', 'Type': 'electric_bike'}"
43aa1196230618424621a7f645d6f3c6bb3185279e16981b41f9057698230a639861d55f3133a803c2b20b7f087c3b5ccd117db5c61a8ddce4bff44417a96f7b,,2022-08-17 17:05:00,35,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,FULLERTON AVE,41.9252682757,-87.6534875641,POINT (-87.653487564139 41.925268275703),"{'Mode': 'rental', 'Type': 'electric_bike'}"
82a7fb307ce68b10b3eba5e09c1b94956b74ecbde7d5b1d56c01975d692b2c8172ebf113a78e7d078c8c84ba5c01804b5f1aa1643308b42c95a3afc5d6227b32,,2022-08-20 11:09:00,30,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HALSTED ST,41.9502903792,-87.6497315231,POINT (-87.649731523109 41.950290379189),"{'Mode': 'rental', 'Type': 'electric_bike'}"
f0c0b62b299b836aeee0aa5a06169bb73d8db17e01c319538df79f16902033b14c6ee77f6886509839c858a7c932aaab2d6d91d37910889231400be809517ad6,,2022-08-26 17:40:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ARCHER AVE,41.8419692269,-87.6575598077,POINT (-87.657559807675 41.841969226919),"{'Mode': 'rental', 'Type': 'electric_bike'}"
cfe596879562a68ea53e70571e2acfba1223ded1cb8cf6363007409819aa8c6fe8455f7071851e0686fcec43aa1e01eb9630c59d0834c59a7421ffd448a2031a,Y,2022-08-30 16:50:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,NO INJURY / DRIVE AWAY,ROOSEVELT RD,41.867321764,-87.6258702008,POINT (-87.625870200766 41.867321764022),"{'Mode': 'rental', 'Type': 'electric_bike'}"
bb77e6b9eac189af9874d64c80bd86aa4837db9b16ea01d8654a027203c0e3095d8eb4abe3b9399937631d9d18ae862187a79e0c91774e3e58709ecd14ccda98,,2022-08-31 08:50:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,PEORIA ST,41.8803834767,-87.6498030663,POINT (-87.649803066328 41.880383476673),"{'Mode': 'rental', 'Type': 'electric_bike'}"
c5cdb7f6f5a9b46dae77977cd01bef9890170b85e65b43fb6a1a1c2f41a6db7ec71c72c9bd49d12ffd46d091035c2a8ddb872aa7db3f391ce9c20cdfb9521bc0,Y,2022-09-09 14:35:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ROOSEVELT RD,41.86735016,-87.6407970803,POINT (-87.640797080284 41.867350160014),"{'Mode': 'rental', 'Type': 'docked_bike'}"
d0d4e8af09a117c038ae835bf3b62c2bdf7ea3ff81179e9611d58f0e2cd9eb802b0f3f2907e88b8b0333532bcbca758f1ead28b3dab442035d798f4a93aad8c6,,2022-09-13 16:22:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT REPORTED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DEARBORN ST,41.8844550486,-87.6293086572,POINT (-87.629308657242 41.884455048597),"{'Mode': 'rental', 'Type': 'classic_bike'}"
a05ad399b99445a820c883d7e601b1048bc61035f90305998efd22ce1ea324fc3825d66b4a154ff10f46a6aa8e0e1afb303a8f6a1744a5a95d069095b482de39,,2022-09-17 12:45:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MILWAUKEE AVE,41.9228425767,-87.6974874818,POINT (-87.697487481806 41.922842576706),"{'Mode': 'rental', 'Type': 'electric_bike'}"
