CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1890784,6cd0cbecec9741f683b823770e4d0748f9590288229b22e006e3744633f0bd9756ae4779099a00bb1e1a8a25cdf62ea72238deacbf7534913ea30c8190fd1af9,08/24/2024 12:00:00 AM,2,DRIVER,,1801274,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890672,371b47709861168e1ace6600029d6a3b9dd31da53008fe100fe4a9c06c20bf2e323ad2d3b1d6688f1a4314935ae8289f2b5dbffdf73085f544276fb09624d267,08/23/2024 07:15:00 PM,1,DRIVER,,1801156,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890434,f7a4799b48a9f2eaacb24d5d4c5e18843443882ab413b7b3725f7198aa2d97ce7ef723f6ea692a24e6ee2ee8e4c750963f182e9bee94bf4073d8db2cdeb7b121,08/23/2024 02:50:00 PM,1,DRIVER,,1800925,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2023,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,Y,,,Y,Y,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888675,8ddeb7865c0cfeb34eebb7a2f98b60e861b5a85080f38da825301d2a115709b23c1a561163955545fb1a03c388882bcaad6f710a26062ebb3b0e30a2a5f79174,08/20/2024 06:13:00 PM,2,DRIVER,,1799238,,VESPA,P SERIES,IL,2009,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887499,118a12f8c375f7ef5cbf93cd2a21c57fde0e229a3b6e169e85bd62d66a2cfcf24532474b60038301f101961f33981a52eea6e9d4207e255537104d864a955e47,08/18/2024 07:26:00 PM,1,DRIVER,,1798141,,YAMAHA,YAMAHA,,1999,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,UNKNOWN,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887998,64d16d9726062f71cee25643622bb8788c019e689626e1f6dd85e3fb081c11c06a9cbde5dafd57569baeaed0709ab00bab89230843a2366d55265d6839d7f994,08/13/2024 04:20:00 PM,1,DRIVER,,1798690,,SCOOTALONG,SCOOTALONG,IL,,BRAKES,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883763,cdd2723441f38ead671d4bab4448c7c495ce17c6ddeb7b53bd5a5f43259e8374b57b4ff81a401d352a3c57835aa3b7cc02f34199fe0db1b0d72f0520e405a9c3,08/13/2024 02:02:00 PM,2,DRIVER,,1794560,,UNKNOWN,MOTORIZED,IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,RIDESHARE SERVICE,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883337,f0b60f2d99955b8bd9c33838d386386e1da2b526cef413420e46cbf295a8113ff7314af18d483cb0c47e544fe3108dae3e66028be61a29dfd0ad6f6f6f342e7d,08/12/2024 08:29:00 PM,2,DRIVER,,1794159,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881769,31645184268e95d58c6161f0a8056c1db87c9354b58b73f38801cd3934e3861bbbd3605da09ff00a118d6a1ecbba03f0fbadea25f6aed6f0cd86c2ac7eb38061,08/10/2024 03:17:00 PM,1,DRIVER,,1792662,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881227,3a3d1a1f46f269c3c43825b1b026bc99e5ec8f0436148a7e48925c0b3232fc7f0234f16bff243308677140318a32b4668db4dd81dd920b57e50df7f5021b69b1,08/09/2024 06:30:00 PM,1,DRIVER,,1792147,,HONDA,OTHER (EXPLAIN IN NARRATIVE),MI,1994,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,PASSING/OVERTAKING,Y,,1,,STREETS AND SANITATION,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
